"gender","race","age","income","education","stratum","strata_n","mB_fit","mB_upr","mB_lwr","mBprob_fit","mBprob_upr","mBprob_lwr","mBmF","obesity_mean","rankprob"
"woman","black","old","Ilow","Elow","womanblackoldIlowElow",587,-0.889583411892976,-0.672463842511104,-1.09097303543986,0.291839893133129,0.338597415710353,0.251984513695569,0.293245446958319,29.8126064735945,154
"woman","black","old","Ilow","Emid","womanblackoldIlowEmid",239,-0.840381496430233,-0.57163955104495,-1.10383854674551,0.300807856496359,0.358062494990477,0.245407137902725,0.302130489147091,31.7991631799163,158
"woman","black","old","Ilow","Ehigh","womanblackoldIlowEhigh",32,-1.03774808857856,-0.62658879768539,-1.46407963362872,0.260309650492781,0.346087915389839,0.186739283608056,0.259838299306087,31.25,126
"woman","black","old","Imid","Elow","womanblackoldImidElow",207,-1.0049143287392,-0.721586337914144,-1.30165727358255,0.26770156279635,0.333396628082967,0.215268000595857,0.270023356506824,26.5700483091787,138
"woman","black","old","Imid","Emid","womanblackoldImidEmid",236,-0.987136363100473,-0.708876476866857,-1.24419322016228,0.272734815514646,0.331683724627678,0.219876578133893,0.273298873801574,27.1186440677966,143
"woman","black","old","Imid","Ehigh","womanblackoldImidEhigh",75,-1.1708777789681,-0.789746455465891,-1.52799647362225,0.241675122518895,0.313384632419039,0.180851121614328,0.239420797253726,21.3333333333333,105
"woman","black","old","Ihigh","Elow","womanblackoldIhighElow",6,-1.13634218202865,-0.664913566782814,-1.56106627750272,0.245680015443613,0.34135219777416,0.17272338356285,0.24611141501383,0,112
"woman","black","old","Ihigh","Emid","womanblackoldIhighEmid",32,-0.914059942120696,-0.513090536972083,-1.31773054605849,0.287278187829348,0.382960271318924,0.209257128520149,0.286687734761968,37.5,152
"woman","black","old","Ihigh","Ehigh","womanblackoldIhighEhigh",66,-1.3177148901876,-0.929068446780666,-1.65621829470732,0.213134340043427,0.284342456785831,0.153726892112544,0.213072387747737,16.6666666666667,70
"woman","brown","young","Ilow","Elow","womanbrownyoungIlowElow",1201,-1.12297441089032,-0.948387343221953,-1.3083401305417,0.243725301904039,0.278703850988413,0.211001123622705,0.244607182173194,25.2289758534555,109
"woman","brown","young","Ilow","Emid","womanbrownyoungIlowEmid",3373,-1.50142903710526,-1.3461428322099,-1.65889028062675,0.181905462752714,0.206718035888453,0.15894290930516,0.182424135546189,18.29232137563,46
"woman","brown","young","Ilow","Ehigh","womanbrownyoungIlowEhigh",656,-1.77742152424466,-1.55869014091797,-2.04752176573347,0.142653808611873,0.174154352480553,0.114365759436443,0.143324078608452,14.0243902439024,9
